"Step","race_SAC_dino_transformer - return_train","race_SAC_dino_transformer - return_train__MIN","race_SAC_dino_transformer - return_train__MAX","race_SAC_dino_bigger - return_train","race_SAC_dino_bigger - return_train__MIN","race_SAC_dino_bigger - return_train__MAX","race_SAC_dino - return_train","race_SAC_dino - return_train__MIN","race_SAC_dino - return_train__MAX","SAC_power_source_impoola_color - return_train","SAC_power_source_impoola_color - return_train__MIN","SAC_power_source_impoola_color - return_train__MAX","race_SAC - return_train","race_SAC - return_train__MIN","race_SAC - return_train__MAX"
"38","0.2200000435","0.2200000435","0.2200000435","","","","0.0599999987","0.0599999987","0.0599999987","1.7599984407","1.7599984407","1.7599984407","","",""
"39","0.2200000435","0.2200000435","0.2200000435","1.8599988222","1.8599988222","1.8599988222","0.1099999994","0.1099999994","0.1099999994","1.8699990511","1.8699990511","1.8699990511","2.239998579","2.239998579","2.239998579"
"40","0.4499998391","0.4499998391","0.4499998391","1.8407489061","1.8407489061","1.8407489061","0.1099999994","0.1099999994","0.1099999994","1.7599984407","1.7599984407","1.7599984407","6.2699999809","6.2699999809","6.2699999809"
"41","0.4499998391","0.4499998391","0.4499998391","","","","0.0199999977","0.0199999977","0.0199999977","2.0899987221","2.0899987221","2.0899987221","","",""
"42","0.1599999815","0.1599999815","0.1599999815","1.5099989176","1.5099989176","1.5099989176","0.0199999977","0.0199999977","0.0199999977","1.8799990416","1.8799990416","1.8799990416","5.2499995232","5.2499995232","5.2499995232"
"43","0.1599999815","0.1599999815","0.1599999815","","","","0.0599999987","0.0599999987","0.0599999987","1.6899992228","1.6899992228","1.6899992228","","",""
"44","0.1900000423","0.1900000423","0.1900000423","1.5099989176","1.5099989176","1.5099989176","0.0599999987","0.0599999987","0.0599999987","1.7299989462","1.7299989462","1.7299989462","6.3999977112","6.3999977112","6.3999977112"
"45","0.1900000423","0.1900000423","0.1900000423","1.5099989176","1.5099989176","1.5099989176","0.2999999523","0.2999999523","0.2999999523","2.5499987602","2.5499987602","2.5499987602","5.2900004387","5.2900004387","5.2900004387"
"46","0.3899999261","0.3899999261","0.3899999261","1.2984991074","1.2984991074","1.2984991074","0.2999999523","0.2999999523","0.2999999523","2.0599994659","2.0599994659","2.0599994659","5.8600001335","5.8600001335","5.8600001335"
"47","0.3899999261","0.3899999261","0.3899999261","","","","0.0999999791","0.0999999791","0.0999999791","1.9999988079","1.9999988079","1.9999988079","","",""
"48","0.3899999261","0.3899999261","0.3899999261","0.6099998355","0.6099998355","0.6099998355","0.0999999791","0.0999999791","0.0999999791","2.2099988461","2.2099988461","2.2099988461","5.3799986839","5.3799986839","5.3799986839"
"49","0.6599997878","0.6599997878","0.6599997878","","","","0.0899999812","0.0899999812","0.0899999812","2.0199990273","2.0199990273","2.0199990273","","",""
"50","0.6599997878","0.6599997878","0.6599997878","0.5992998481","0.5992998481","0.5992998481","0","0","0","1.8299986124","1.8299986124","1.8299986124","6.9199986458","6.9199986458","6.9199986458"
"51","0.0599999987","0.0599999987","0.0599999987","1.6199989319","1.6199989319","1.6199989319","0","0","0","1.7899991274","1.7899991274","1.7899991274","6.0800023079","6.0800023079","6.0800023079"
"52","0.0599999987","0.0599999987","0.0599999987","1.6199989319","1.6199989319","1.6199989319","0.0099999988","0.0099999988","0.0099999988","1.9099992514","1.9099992514","1.9099992514","2.3699989319","2.3699989319","2.3699989319"
"53","0","0","0","1.6199989319","1.6199989319","1.6199989319","0.0099999988","0.0099999988","0.0099999988","2.6599981785","2.6599981785","2.6599981785","5.9999995232","5.9999995232","5.9999995232"
"54","0","0","0","","","","0.4899998009","0.4899998009","0.4899998009","2.1799983978","2.1799983978","2.1799983978","2.0299990177","2.0299990177","2.0299990177"
"55","0.1699999869","0.1699999869","0.1699999869","","","","0.4899998009","0.4899998009","0.4899998009","1.9599989653","1.9599989653","1.9599989653","","",""
"56","0.1699999869","0.1699999869","0.1699999869","1.4899990559","1.4899990559","1.4899990559","0","0","0","1.999999404","1.999999404","1.999999404","6.3900032043","6.3900032043","6.3900032043"
"57","0","0","0","1.0710992813","1.0710992813","1.0710992813","0","0","0","2.229998827","2.229998827","2.229998827","6.3800053596","6.3800053596","6.3800053596"
"58","0","0","0","0.0699999928","0.0699999928","0.0699999928","0","0","0","1.7999991179","1.7999991179","1.7999991179","6.8099980354","6.8099980354","6.8099980354"
"59","0","0","0","0.1420500129","0.1420500129","0.1420500129","0","0","0","2.1199986935","2.1199986935","2.1199986935","6.8200001717","6.8200001717","6.8200001717"
"60","0.1199999973","0.1199999973","0.1199999973","","","","0.2500000298","0.2500000298","0.2500000298","2.069999218","2.069999218","2.069999218","","",""
"61","0.1199999973","0.1199999973","0.1199999973","","","","0.3599998951","0.3599998951","0.3599998951","1.8799990416","1.8799990416","1.8799990416","","",""
"62","0.0399999954","0.0399999954","0.0399999954","0.0399999917","0.0399999917","0.0399999917","0.3599998951","0.3599998951","0.3599998951","2.4099984169","2.4099984169","2.4099984169","6.0199999809","6.0199999809","6.0199999809"
"63","0.0399999954","0.0399999954","0.0399999954","0.0899999812","0.0899999812","0.0899999812","0.3899998367","0.3899998367","0.3899998367","2.239998579","2.239998579","2.239998579","6.4800014496","6.4800014496","6.4800014496"
"64","0.0899999812","0.0899999812","0.0899999812","","","","0.3899998367","0.3899998367","0.3899998367","2.1599984169","2.1599984169","2.1599984169","","",""
"65","0.0899999812","0.0899999812","0.0899999812","","","","0.2100000232","0.2100000232","0.2100000232","2.229998827","2.229998827","2.229998827","","",""
"66","0.0199999977","0.0199999977","0.0199999977","0.8899994493","0.8899994493","0.8899994493","0.2100000232","0.2100000232","0.2100000232","4.7100057602","4.7100057602","4.7100057602","12.3400096893","12.3400096893","12.3400096893"
"67","0.0199999977","0.0199999977","0.0199999977","0.881449461","0.881449461","0.881449461","0.1599999815","0.1599999815","0.1599999815","1.9999988079","1.9999988079","1.9999988079","6.8899989128","6.8899989128","6.8899989128"
"68","0.0099999988","0.0099999988","0.0099999988","0.319999963","0.319999963","0.319999963","0.1599999815","0.1599999815","0.1599999815","1.6899987459","1.6899987459","1.6899987459","7.1399989128","7.1399989128","7.1399989128"
"69","0.0099999988","0.0099999988","0.0099999988","0.5684997439","0.5684997439","0.5684997439","0.0199999977","0.0199999977","0.0199999977","1.929998517","1.929998517","1.929998517","7.2200016975","7.2200016975","7.2200016975"
"70","0.0399999954","0.0399999954","0.0399999954","1.7399988174","1.7399988174","1.7399988174","0.0199999977","0.0199999977","0.0199999977","3.7899975777","3.7899975777","3.7899975777","6.8600001335","6.8600001335","6.8600001335"
"71","0.0399999954","0.0399999954","0.0399999954","1.7399988174","1.7399988174","1.7399988174","0.0799999908","0.0799999908","0.0799999908","3.4499971867","3.4499971867","3.4499971867","6.2899999619","6.2899999619","6.2899999619"
"72","0.0299999993","0.0299999993","0.0299999993","1.7399988174","1.7399988174","1.7399988174","0.0299999993","0.0299999993","0.0299999993","1.979999423","1.979999423","1.979999423","7.1700005531","7.1700005531","7.1700005531"
"73","0","0","0","1.7399988174","1.7399988174","1.7399988174","0.0299999993","0.0299999993","0.0299999993","1.9299991131","1.9299991131","1.9299991131","6.8099999428","6.8099999428","6.8099999428"
"74","0","0","0","1.7014988661","1.7014988661","1.7014988661","0.0399999954","0.0399999954","0.0399999954","2.3499987125","2.3499987125","2.3499987125","12.3400096893","12.3400096893","12.3400096893"
"75","0.0399999954","0.0399999954","0.0399999954","","","","0.0399999954","0.0399999954","0.0399999954","2.3499987125","2.3499987125","2.3499987125","","",""
"76","0.0399999954","0.0399999954","0.0399999954","1.5881994963","1.5881994963","1.5881994963","0","0","0","1.7799988985","1.7799988985","1.7799988985","6.5800123215","6.5800123215","6.5800123215"
"77","0","0","0","1.9599989653","1.9599989653","1.9599989653","0","0","0","1.7599992752","1.7599992752","1.7599992752","7.2200107574","7.2200107574","7.2200107574"
"78","0","0","0","","","","0","0","0","1.7799988985","1.7799988985","1.7799988985","","",""
"79","0.2700000107","0.2700000107","0.2700000107","1.9599989653","1.9599989653","1.9599989653","0","0","0","3.7399976254","3.7399976254","3.7399976254","4.4300003052","4.4300003052","4.4300003052"
"80","0.2700000107","0.2700000107","0.2700000107","","","","0.3699999154","0.3699999154","0.3699999154","1.8499990702","1.8499990702","1.8499990702","","",""
"81","0","0","0","","","","0.3699999154","0.3699999154","0.3699999154","2.2299990654","2.2299990654","2.2299990654","","",""
"82","0.0099999988","0.0099999988","0.0099999988","2.1899988651","2.1899988651","2.1899988651","0.1599999815","0.1599999815","0.1599999815","2.2799987793","2.2799987793","2.2799987793","5.319999218","5.319999218","5.319999218"
"83","0.0099999988","0.0099999988","0.0099999988","1.8084990978","1.8084990978","1.8084990978","0.1599999815","0.1599999815","0.1599999815","2.6699984074","2.6699984074","2.6699984074","6.6600031853","6.6600031853","6.6600031853"
"84","0.2000000328","0.2000000328","0.2000000328","0.0099999988","0.0099999988","0.0099999988","0","0","0","2.7899987698","2.7899987698","2.7899987698","6.7899990082","6.7899990082","6.7899990082"
"85","0.2000000328","0.2000000328","0.2000000328","1.1013995409","1.1013995409","1.1013995409","0","0","0","2.1699986458","2.1699986458","2.1699986458","12.3400125504","12.3400125504","12.3400125504"
"86","0.1199999973","0.1199999973","0.1199999973","2.0499989986","2.0499989986","2.0499989986","0.3299999535","0.3299999535","0.3299999535","1.8799990416","1.8799990416","1.8799990416","4.9400019646","4.9400019646","4.9400019646"
"87","0.1199999973","0.1199999973","0.1199999973","2.0499989986","2.0499989986","2.0499989986","0","0","0","2.0899987221","2.0899987221","2.0899987221","4.9400019646","4.9400019646","4.9400019646"
"88","0","0","0","2.317748785","2.317748785","2.317748785","0","0","0","1.6799993515","1.6799993515","1.6799993515","6.8400034904","6.8400034904","6.8400034904"
"89","0","0","0","2.4999985695","2.4999985695","2.4999985695","0","0","0","2.1499993801","2.1499993801","2.1499993801","5.810002327","5.810002327","5.810002327"
"90","0","0","0","2.4051985741","2.4051985741","2.4051985741","0","0","0","2.2299990654","2.2299990654","2.2299990654","4.3899989128","4.3899989128","4.3899989128"
"91","0","0","0","2.25999856","2.25999856","2.25999856","0.1199999973","0.1199999973","0.1199999973","2.199999094","2.199999094","2.199999094","12.3400125504","12.3400125504","12.3400125504"
"92","0","0","0","","","","0.1199999973","0.1199999973","0.1199999973","1.6199990511","1.6199990511","1.6199990511","","",""
"93","0","0","0","1.8999991417","1.8999991417","1.8999991417","0.0299999993","0.0299999993","0.0299999993","1.7999992371","1.7999992371","1.7999992371","12.3399972916","12.3399972916","12.3399972916"
"94","0.3599999249","0.3599999249","0.3599999249","1.8999991417","1.8999991417","1.8999991417","0.0699999928","0.0699999928","0.0699999928","2.4099991322","2.4099991322","2.4099991322","12.4599990845","12.4599990845","12.4599990845"
"95","0.3599999249","0.3599999249","0.3599999249","","","","0.0699999928","0.0699999928","0.0699999928","1.9799989462","1.9799989462","1.9799989462","","",""
