"Step","comic-armadillo-31 - return_train","comic-armadillo-31 - return_train__MIN","comic-armadillo-31 - return_train__MAX","TQC_speed - return_train","TQC_speed - return_train__MIN","TQC_speed - return_train__MAX","REDQSAC_speed - return_train","REDQSAC_speed - return_train__MIN","REDQSAC_speed - return_train__MAX","SAC_speed - return_train","SAC_speed - return_train__MIN","SAC_speed - return_train__MAX","REDQSAC_eaux_4_imgs_pretrained_3 - return_train","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MIN","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MAX","SAC_4_imgs_eaux_5 - return_train","SAC_4_imgs_eaux_5 - return_train__MIN","SAC_4_imgs_eaux_5 - return_train__MAX"
"13","0","0","0","1.8999983072","1.8999983072","1.8999983072","0.0399999954","0.0399999954","0.0399999954","","","","","","","","",""
"14","0.2100000232","0.2100000232","0.2100000232","0.0299999993","0.0299999993","0.0299999993","0.3099999726","0.3099999726","0.3099999726","0.2500000298","0.2500000298","0.2500000298","0.0099999988","0.0099999988","0.0099999988","3.439997673","3.439997673","3.439997673"
"15","0.0199999977","0.0199999977","0.0199999977","0.6099997759","0.6099997759","0.6099997759","0.2100000232","0.2100000232","0.2100000232","0.2500000298","0.2500000298","0.2500000298","","","","","",""
"16","0.0199999977","0.0199999977","0.0199999977","3.9899969101","3.9899969101","3.9899969101","0","0","0","3.7099978924","3.7099978924","3.7099978924","0.0099999988","0.0099999988","0.0099999988","4.0299973488","4.0299973488","4.0299973488"
"17","2.3899979591","2.3899979591","2.3899979591","3.3799972534","3.3799972534","3.3799972534","0.1099999994","0.1099999994","0.1099999994","1.4999988079","1.4999988079","1.4999988079","0.0099999988","0.0099999988","0.0099999988","3.399998188","3.399998188","3.399998188"
"18","0.180000037","0.180000037","0.180000037","0.439999938","0.439999938","0.439999938","0.0699999928","0.0699999928","0.0699999928","1.4999988079","1.4999988079","1.4999988079","0.0099999988","0.0099999988","0.0099999988","3.399998188","3.399998188","3.399998188"
"19","1.6799991131","1.6799991131","1.6799991131","0.180000037","0.180000037","0.180000037","1.3899992704","1.3899992704","1.3899992704","1.929998517","1.929998517","1.929998517","0.0099999988","0.0099999988","0.0099999988","3.7999966145","3.7999966145","3.7999966145"
"20","0.8199997544","0.8199997544","0.8199997544","0.0199999977","0.0199999977","0.0199999977","1.1599994898","1.1599994898","1.1599994898","0.7799996734","0.7799996734","0.7799996734","2.7599980831","2.7599980831","2.7599980831","","",""
"21","1.0299994946","1.0299994946","1.0299994946","0.1900000423","0.1900000423","0.1900000423","0.8699995279","0.8699995279","0.8699995279","0.7799996734","0.7799996734","0.7799996734","2.7599980831","2.7599980831","2.7599980831","3.7599980831","3.7599980831","3.7599980831"
"22","0.0299999993","0.0299999993","0.0299999993","3.2099978924","3.2099978924","3.2099978924","0.7299997211","0.7299997211","0.7299997211","0.7799996734","0.7799996734","0.7799996734","","","","","",""
"23","0","0","0","2.5099983215","2.5099983215","2.5099983215","0.5599998236","0.5599998236","0.5599998236","","","","","","","","",""
"24","1.2499990463","1.2499990463","1.2499990463","0.4399999976","0.4399999976","0.4399999976","1.2999993563","1.2999993563","1.2999993563","","","","","","","","",""
"25","0.6499996781","0.6499996781","0.6499996781","1.9099984169","1.9099984169","1.9099984169","0.0099999988","0.0099999988","0.0099999988","7.6600041389","7.6600041389","7.6600041389","2.7599980831","2.7599980831","2.7599980831","3.0799975395","3.0799975395","3.0799975395"
"26","0.0599999987","0.0599999987","0.0599999987","2.00999856","2.00999856","2.00999856","0.0099999988","0.0099999988","0.0099999988","1.3899992704","1.3899992704","1.3899992704","2.7599980831","2.7599980831","2.7599980831","2.8499987125","2.8499987125","2.8499987125"
